Id,SalePrice
1461,180808.89897260274
1462,180808.89897260274
1463,180808.89897260274
1464,180808.89897260274
1465,180808.89897260274
1466,180808.89897260274
1467,180808.89897260274
1468,180808.89897260274
1469,180808.89897260274
1470,180808.89897260274
1471,180808.89897260274
1472,180808.89897260274
1473,180808.89897260274
1474,180808.89897260274
1475,180808.89897260274
1476,180808.89897260274
1477,180808.89897260274
1478,180808.89897260274
1479,180808.89897260274
1480,180808.89897260274
1481,180808.89897260274
1482,180808.89897260274
1483,180808.89897260274
1484,180808.89897260274
1485,180808.89897260274
1486,180808.89897260274
1487,180808.89897260274
1488,180808.89897260274
1489,180808.89897260274
1490,180808.89897260274
1491,180808.89897260274
1492,180808.89897260274
1493,180808.89897260274
1494,180808.89897260274
1495,180808.89897260274
1496,180808.89897260274
1497,180808.89897260274
1498,180808.89897260274
1499,180808.89897260274
1500,180808.89897260274
1501,180808.89897260274
1502,180808.89897260274
1503,180808.89897260274
1504,180808.89897260274
1505,180808.89897260274
1506,180808.89897260274
1507,180808.89897260274
1508,180808.89897260274
1509,180808.89897260274
1510,180808.89897260274
1511,180808.89897260274
1512,180808.89897260274
1513,180808.89897260274
1514,180808.89897260274
1515,180808.89897260274
1516,180808.89897260274
1517,180808.89897260274
1518,180808.89897260274
1519,180808.89897260274
1520,180808.89897260274
1521,180808.89897260274
1522,180808.89897260274
1523,180808.89897260274
1524,180808.89897260274
1525,180808.89897260274
1526,180808.89897260274
1527,180808.89897260274
1528,180808.89897260274
1529,180808.89897260274
1530,180808.89897260274
1531,180808.89897260274
1532,180808.89897260274
1533,180808.89897260274
1534,180808.89897260274
1535,180808.89897260274
1536,180808.89897260274
1537,180808.89897260274
1538,180808.89897260274
1539,180808.89897260274
1540,180808.89897260274
1541,180808.89897260274
1542,180808.89897260274
1543,180808.89897260274
1544,180808.89897260274
1545,180808.89897260274
1546,180808.89897260274
1547,180808.89897260274
1548,180808.89897260274
1549,180808.89897260274
1550,180808.89897260274
1551,180808.89897260274
1552,180808.89897260274
1553,180808.89897260274
1554,180808.89897260274
1555,180808.89897260274
1556,180808.89897260274
1557,180808.89897260274
1558,180808.89897260274
1559,180808.89897260274
1560,180808.89897260274
1561,180808.89897260274
1562,180808.89897260274
1563,180808.89897260274
1564,180808.89897260274
1565,180808.89897260274
1566,180808.89897260274
1567,180808.89897260274
1568,180808.89897260274
1569,180808.89897260274
1570,180808.89897260274
1571,180808.89897260274
1572,180808.89897260274
1573,180808.89897260274
1574,180808.89897260274
1575,180808.89897260274
1576,180808.89897260274
1577,180808.89897260274
1578,180808.89897260274
1579,180808.89897260274
1580,180808.89897260274
1581,180808.89897260274
1582,180808.89897260274
1583,180808.89897260274
1584,180808.89897260274
1585,180808.89897260274
1586,180808.89897260274
1587,180808.89897260274
1588,180808.89897260274
1589,180808.89897260274
1590,180808.89897260274
1591,180808.89897260274
1592,180808.89897260274
1593,180808.89897260274
1594,180808.89897260274
